REF_AREA;Coğrafi Kapsam;FREQ;Gözlem Sıklığı;INDICATOR;İstatistiksel Gösterge;AY;Ay (DESC);YAKIT_TUR;Yakıt Türü;UNIT_MEASURE;Ölçü Birimi;Zaman (TIME_PERIOD);Gözlem;DONUSUM;Zaman Serisi Dönüşümü;ZAMAN_BICIMI;Zaman Formatı;UNIT_MULT;Birim Çarpanı;CONF_STATUS;Gizlilik Durumu;GOZLEM_DURUMU;Gözlem Durumu;ONDALIK;Ondalık Basamak Sayısı
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2009-01;51.65;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2008-01;56.89;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2007-01;62.09;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2006-01;66.8;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PT;Yüzde;2005-01;74.83;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2026-01;5407176;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2025-01;4957582;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2024-01;4432892;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2023-01;3866580;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2022-01;3522102;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2021-01;3234305;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2020-01;3037617;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2019-01;3093605;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2018-01;3129841;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2017-01;3044258;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2016-01;2936502;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2015-01;2866274;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2014-01;2897959;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2013-01;2934451;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2012-01;3035058;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2011-01;3199394;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2010-01;3366645;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2009-01;3525486;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2008-01;3711118;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2007-01;3833010;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2006-01;3895574;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;1;Benzinli;PN;Sayı;2005-01;4057150;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2026-01;32.5;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2025-01;33.99;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2024-01;35.48;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2023-01;36.79;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2022-01;37.58;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2021-01;38.27;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2020-01;38.19;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2019-01;36.95;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2018-01;35.55;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2017-01;33.85;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2016-01;31.84;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2015-01;29.58;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2014-01;27.24;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2013-01;24.61;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2012-01;22.May;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2011-01;18.81;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2010-01;15.Eyl;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2009-01;14.Kas;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2008-01;Ara.18;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2007-01;Eyl.75;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2006-01;Tem.26;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PT;Yüzde;2005-01;Nis.78;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2026-01;5674307;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2025-01;5553258;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2024-01;5441233;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2023-01;5280291;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2022-01;5166289;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2021-01;5040785;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2020-01;4799571;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2019-01;4596109;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2018-01;4303711;;;;;;;;;;;;
TR;Türkiye;M;Aylık;U_MKTS;Motorlu Kara Taşıtları Sayısı;M01;Ocak;2;Dizel;PN;Sayı;2017-01;3859039;;;;;;;;;;;;
